2025-04-29 12:31:00 | INFO | PID:13232 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:31:00 | INFO | PID:13232 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:31:02 | INFO | PID:15792 | Started worker process 13232
2025-04-29 12:41:10 | INFO | PID:15792 | Updated worker name after removing '.py': url_rewriter_para_worker
2025-04-29 12:41:10 | INFO | PID:15792 | Found 0 existing workers for url_rewriter_para_worker on f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:11 | INFO | PID:13600 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:11 | INFO | PID:13600 | Created new channel
2025-04-29 12:41:11 | INFO | PID:13600 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:12 | INFO | PID:13600 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:12 | INFO | PID:13600 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:13 | INFO | PID:15792 | Started worker process 13600
2025-04-29 12:41:14 | INFO | PID:11260 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:14 | INFO | PID:11260 | Created new channel
2025-04-29 12:41:14 | INFO | PID:11260 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:14 | INFO | PID:11260 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:14 | INFO | PID:11260 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:14 | INFO | PID:15792 | Updated worker name after removing '.py': url_rewriter_para_worker
2025-04-29 12:41:14 | INFO | PID:15792 | Found 0 existing workers for url_rewriter_para_worker on f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:15 | INFO | PID:31328 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:15 | INFO | PID:31328 | Created new channel
2025-04-29 12:41:15 | INFO | PID:31328 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:15 | INFO | PID:31328 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:15 | INFO | PID:31328 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:16 | INFO | PID:15792 | Started worker process 11260
2025-04-29 12:41:17 | INFO | PID:28700 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:17 | INFO | PID:28700 | Created new channel
2025-04-29 12:41:17 | INFO | PID:28700 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:17 | INFO | PID:28700 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:17 | INFO | PID:28700 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:17 | INFO | PID:15792 | Started worker process 31328
2025-04-29 12:41:18 | INFO | PID:31196 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:18 | INFO | PID:31196 | Created new channel
2025-04-29 12:41:18 | INFO | PID:31196 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:18 | INFO | PID:31196 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:18 | INFO | PID:31196 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:19 | INFO | PID:15792 | Started worker process 28700
2025-04-29 12:41:20 | INFO | PID:12908 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:20 | INFO | PID:12908 | Created new channel
2025-04-29 12:41:20 | INFO | PID:12908 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:20 | INFO | PID:12908 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:20 | INFO | PID:12908 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:20 | INFO | PID:15792 | Started worker process 31196
2025-04-29 12:41:21 | INFO | PID:6448 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:21 | INFO | PID:6448 | Created new channel
2025-04-29 12:41:21 | INFO | PID:6448 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:21 | INFO | PID:6448 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:21 | INFO | PID:6448 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:22 | INFO | PID:15792 | Started worker process 12908
2025-04-29 12:41:23 | INFO | PID:28368 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:23 | INFO | PID:28368 | Created new channel
2025-04-29 12:41:23 | INFO | PID:28368 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:23 | INFO | PID:28368 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:23 | INFO | PID:28368 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:23 | INFO | PID:15792 | Started worker process 6448
2025-04-29 12:41:24 | INFO | PID:15792 | Updated worker name after removing '.py': url_rewriter_para_worker
2025-04-29 12:41:24 | INFO | PID:14872 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:24 | INFO | PID:15792 | Found 0 existing workers for url_rewriter_para_worker on f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:24 | INFO | PID:14872 | Created new channel
2025-04-29 12:41:24 | INFO | PID:14872 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:24 | INFO | PID:14872 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:24 | INFO | PID:14872 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:25 | INFO | PID:29492 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:25 | INFO | PID:29492 | Created new channel
2025-04-29 12:41:25 | INFO | PID:29492 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:25 | INFO | PID:29492 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:41:25 | INFO | PID:29492 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:41:25 | INFO | PID:15792 | Started worker process 28368
2025-04-29 12:41:26 | INFO | PID:15792 | Started worker process 14872
2025-04-29 12:41:27 | INFO | PID:15792 | Started worker process 29492
2025-04-29 12:41:28 | INFO | PID:18488 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:28 | INFO | PID:18488 | Created new channel
2025-04-29 12:41:28 | INFO | PID:18488 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:41:28 | INFO | PID:18488 | Available workers: ['url_rewriter_para_worker']
